epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60669,2.89219,5.84508,2.03727,0.00023,0.04878,0.00012,1e-05,2.43442,4.75739,1.72807,0.00014,0.00014,0.00014
2,5.9464,2.74517,6.09965,1.69034,0.00402,0.85366,0.00484,0.00219,1.6994,3.94733,1.21487,0.00029406,0.00029406,0.00029406
3,8.1862,1.9062,2.79218,1.29485,0.00425,0.90244,0.00589,0.00308,1.52407,3.88539,1.15632,0.000441784,0.000441784,0.000441784
4,10.3664,1.89906,2.2583,1.28544,0.00425,0.90244,0.0056,0.00246,1.50388,3.78779,1.15294,0.000583172,0.000583172,0.000583172
5,12.6071,1.78688,2.03153,1.23965,0.00425,0.90244,0.0057,0.00273,1.50738,3.72858,1.14836,0.000718224,0.000718224,0.000718224
6,14.7949,1.87866,2.00914,1.33089,0.00414,0.87805,0.0072,0.00237,1.63816,3.88546,1.2703,0.00084694,0.00084694,0.00084694
7,16.9301,1.80359,1.88838,1.36179,0.00437,0.92683,0.00708,0.00346,1.43897,3.71327,1.15297,0.00096932,0.00096932,0.00096932
8,19.1059,1.6796,1.76412,1.23684,0.00425,0.90244,0.46257,0.16958,1.58865,3.75302,1.22198,0.00108536,0.00108536,0.00108536
9,21.2365,1.72844,1.87468,1.29496,0.00437,0.92683,0.85718,0.41353,1.52208,3.3826,1.15912,0.00119507,0.00119507,0.00119507
10,23.3687,1.62931,1.69719,1.21762,0.00425,0.90244,0.81353,0.43871,1.52484,3.44337,1.17394,0.00129844,0.00129844,0.00129844
11,25.5627,1.75496,1.59943,1.26908,0.02624,0.73171,0.73658,0.40692,1.45666,3.30894,1.18001,0.00139548,0.00139548,0.00139548
12,27.7012,1.57009,1.54614,1.20699,0.98158,0.70732,0.74228,0.44924,1.49025,2.76962,1.27549,0.00148618,0.00148618,0.00148618
13,29.8061,1.62099,1.44661,1.18441,0.96891,0.65854,0.76795,0.4605,1.55852,2.57046,1.31564,0.0015248,0.0015248,0.0015248
14,31.9409,1.55686,1.45826,1.18699,0.95804,0.55705,0.71449,0.44982,1.52671,2.70898,1.27719,0.0014852,0.0014852,0.0014852
15,34.1209,1.57118,1.5114,1.24351,1,0.74319,0.78479,0.44316,1.65073,2.03001,1.37191,0.0014456,0.0014456,0.0014456
16,36.2444,1.70346,1.43639,1.22307,0.98531,0.7561,0.85198,0.49628,1.538,1.85422,1.28034,0.001406,0.001406,0.001406
17,38.362,1.54415,1.2471,1.17795,1,0.75243,0.84675,0.49583,1.58834,1.67201,1.28878,0.0013664,0.0013664,0.0013664
18,40.514,1.53441,1.27845,1.19516,0.96839,0.73171,0.85464,0.53881,1.49723,1.6445,1.24924,0.0013268,0.0013268,0.0013268
19,42.6691,1.50042,1.20359,1.20679,0.9882,0.7561,0.85488,0.53803,1.58041,1.3411,1.30166,0.0012872,0.0012872,0.0012872
