epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71139,2.72813,5.85609,1.86747,0.00045,0.09783,0.0003,9e-05,1.74304,4.18576,1.26832,0.00022,0.00022,0.00022
2,8.23664,1.8966,3.18173,1.24392,0.00389,0.83696,0.00572,0.00213,1.83359,3.97226,1.25224,0.000450892,0.000450892,0.000450892
3,11.6262,1.74723,2.10147,1.20609,0.00404,0.86957,0.00565,0.00302,1.33255,3.82231,1.09996,0.00067228,0.00067228,0.00067228
4,14.9944,1.6614,1.8681,1.23605,0.00414,0.8913,0.00478,0.00218,1.38833,3.81492,1.19141,0.000884164,0.000884164,0.000884164
5,18.3896,1.62902,1.67569,1.25441,0.00379,0.81522,0.00589,0.00243,1.56336,3.9099,1.33636,0.00108654,0.00108654,0.00108654
6,21.6656,1.65513,1.62184,1.25624,0.00384,0.82609,0.00496,0.00278,1.43796,3.43611,1.26008,0.00127942,0.00127942,0.00127942
7,25.0184,1.67306,1.55331,1.26265,0.00328,0.70652,0.00773,0.00429,1.31099,3.53528,1.21199,0.00146279,0.00146279,0.00146279
8,28.262,1.61148,1.55528,1.23495,0.07359,0.58696,0.05624,0.03116,1.3771,5.61983,1.23717,0.00163666,0.00163666,0.00163666
9,31.5176,1.54202,1.42054,1.18525,0.72238,0.82609,0.71212,0.38674,1.33195,2.28229,1.22101,0.0016832,0.0016832,0.0016832
10,34.7988,1.49878,1.32579,1.16027,0.95262,0.87423,0.8918,0.46531,1.45591,1.73405,1.30183,0.0016436,0.0016436,0.0016436
11,38.0887,1.54712,1.24165,1.21546,0.95124,0.84829,0.93046,0.49792,1.50169,1.74746,1.36581,0.001604,0.001604,0.001604
12,41.3568,1.52908,1.20933,1.19723,0.9726,0.91304,0.94907,0.53966,1.60592,1.08835,1.39269,0.0015644,0.0015644,0.0015644
13,44.6641,1.5233,1.16636,1.17705,0.9543,0.83696,0.90355,0.44225,1.61652,0.88797,1.40737,0.0015248,0.0015248,0.0015248
14,47.9933,1.51311,1.12213,1.15611,0.88045,0.91304,0.93324,0.5711,1.26103,0.88028,1.18929,0.0014852,0.0014852,0.0014852
15,51.2931,1.52922,1.10633,1.16443,0.94232,0.88792,0.95306,0.55583,1.3258,0.86057,1.22414,0.0014456,0.0014456,0.0014456
16,54.5449,1.49145,1.03196,1.156,1,0.898,0.96297,0.59126,1.25018,0.85066,1.1552,0.001406,0.001406,0.001406
17,57.8165,1.4135,0.94549,1.12089,0.97695,0.92138,0.94666,0.53178,1.39707,0.78209,1.26305,0.0013664,0.0013664,0.0013664
18,61.0488,1.48319,0.97393,1.17957,1,0.8766,0.95868,0.58085,1.28321,0.74275,1.15576,0.0013268,0.0013268,0.0013268
19,64.3015,1.41716,0.95026,1.14722,0.98847,0.93478,0.96583,0.54845,1.30371,0.76603,1.17115,0.0012872,0.0012872,0.0012872
20,67.5673,1.44625,0.96151,1.18121,0.98822,0.91204,0.97536,0.59927,1.29127,0.71359,1.14727,0.0012476,0.0012476,0.0012476
21,70.8514,1.43619,0.93631,1.16736,0.98356,0.90217,0.958,0.5972,1.35405,0.70217,1.19073,0.001208,0.001208,0.001208
22,74.1874,1.44138,0.86788,1.13431,0.98314,0.93478,0.98047,0.59764,1.28208,0.65777,1.1572,0.0011684,0.0011684,0.0011684
23,77.5006,1.42208,0.87728,1.1475,0.97804,0.91304,0.97083,0.5911,1.29042,0.59239,1.16511,0.0011288,0.0011288,0.0011288
24,80.8276,1.40169,0.83554,1.13403,0.97427,0.88043,0.95003,0.54257,1.51274,0.61604,1.34452,0.0010892,0.0010892,0.0010892
25,84.0897,1.44322,0.80811,1.11706,0.9723,0.92391,0.96485,0.5607,1.39942,0.59416,1.25328,0.0010496,0.0010496,0.0010496
26,87.3327,1.43108,0.84299,1.13603,0.95105,0.94565,0.97195,0.57541,1.39578,0.63126,1.24632,0.00101,0.00101,0.00101
27,90.6141,1.39448,0.82704,1.17394,0.98258,0.93478,0.97427,0.60877,1.35404,0.61804,1.21445,0.0009704,0.0009704,0.0009704
28,93.8865,1.37876,0.81054,1.12728,0.95266,0.94565,0.96438,0.60873,1.25496,0.5905,1.15457,0.0009308,0.0009308,0.0009308
29,97.159,1.44133,0.78782,1.1412,0.97712,0.92857,0.9666,0.58928,1.30703,0.60891,1.1743,0.0008912,0.0008912,0.0008912
30,100.526,1.40862,0.75567,1.11328,0.96476,0.89281,0.95517,0.57929,1.37022,0.60468,1.21513,0.0008516,0.0008516,0.0008516
31,103.839,1.32431,0.74191,1.09121,0.93765,0.92391,0.95874,0.57848,1.36293,0.56602,1.20495,0.000812,0.000812,0.000812
32,107.051,1.4017,0.74859,1.13761,0.98337,0.95652,0.9857,0.6087,1.33153,0.56186,1.19467,0.0007724,0.0007724,0.0007724
33,110.324,1.35551,0.75288,1.13272,0.95719,0.97214,0.97858,0.60086,1.34371,0.5855,1.20084,0.0007328,0.0007328,0.0007328
34,113.861,1.33974,0.73638,1.1067,0.98899,0.97672,0.9864,0.60033,1.34737,0.52872,1.19719,0.0006932,0.0006932,0.0006932
35,118.999,1.36135,0.71471,1.09236,0.97543,0.97826,0.98175,0.59747,1.36264,0.5434,1.19702,0.0006536,0.0006536,0.0006536
36,124.074,1.36178,0.71167,1.1428,0.97845,0.98725,0.98329,0.61236,1.35215,0.55801,1.1846,0.000614,0.000614,0.000614
37,127.534,1.38367,0.69928,1.11555,0.95774,0.94565,0.98439,0.63101,1.28416,0.55229,1.15929,0.0005744,0.0005744,0.0005744
38,130.878,1.35791,0.70903,1.09408,0.98539,0.98913,0.98758,0.63217,1.27922,0.54544,1.1502,0.0005348,0.0005348,0.0005348
39,134.261,1.31795,0.69114,1.10777,0.97575,0.98913,0.98762,0.62354,1.31994,0.55747,1.17112,0.0004952,0.0004952,0.0004952
40,137.588,1.30169,0.69324,1.1199,0.97818,0.97441,0.98732,0.6212,1.37635,0.55061,1.21196,0.0004556,0.0004556,0.0004556
41,168.349,1.32728,0.70859,1.16237,0.96773,0.97793,0.9861,0.62025,1.32551,0.54687,1.18189,0.000416,0.000416,0.000416
42,171.635,1.28508,0.67424,1.13739,0.97513,0.98913,0.98846,0.62135,1.28134,0.51005,1.1665,0.0003764,0.0003764,0.0003764
43,174.984,1.26669,0.65725,1.13985,0.97813,0.97215,0.97545,0.61331,1.26782,0.51267,1.16479,0.0003368,0.0003368,0.0003368
44,178.377,1.31054,0.66644,1.18276,0.97729,0.97826,0.97619,0.62435,1.26808,0.53014,1.15589,0.0002972,0.0002972,0.0002972
45,181.695,1.26685,0.65691,1.16138,0.98742,0.98913,0.98912,0.62787,1.27496,0.51495,1.15862,0.0002576,0.0002576,0.0002576
46,184.977,1.27473,0.64463,1.15699,0.97669,0.97826,0.98038,0.63139,1.28105,0.50726,1.16884,0.000218,0.000218,0.000218
47,188.326,1.26656,0.63696,1.17845,0.97676,0.97826,0.98759,0.63992,1.25707,0.49525,1.14915,0.0001784,0.0001784,0.0001784
48,191.656,1.28051,0.63907,1.15194,0.97752,0.97826,0.98774,0.63592,1.25544,0.498,1.14609,0.0001388,0.0001388,0.0001388
49,195.064,1.2446,0.63288,1.15854,0.97824,0.97718,0.98778,0.63273,1.25924,0.50287,1.15253,9.92e-05,9.92e-05,9.92e-05
50,198.369,1.26906,0.62214,1.14669,0.97823,0.977,0.98813,0.63908,1.27333,0.50742,1.16063,5.96e-05,5.96e-05,5.96e-05
